audio,transcription
/Users/air/Downloads/Ненецкие аудио/data/009_220215.96875_229176.59375.wav,"сисю"" нянда варан' ӈадимя"" явна манрырць пэй"" иисус ӈацекы' нисям' хонра ӈаха""на тарем' хэса ӈацекы' нися ма"
/Users/air/Downloads/Ненецкие аудио/data/009_230054.09375_238761.59375.wav,"нюдя ӈэбыхында тарця сита ӈобкад ӈылека хадаван' харвасеты тарць"" ямбха""на тун' моёпасетыдава ит' моёпасетыдава"
/Users/air/Downloads/Ненецкие аудио/data/009_239925.96875_249139.71875.wav,"тяхананд пирпат сидни' сялила""ма сидни' няда""ма иисус нянда вахалъй"" пыдар ман пирпат"
/Users/air/Downloads/Ненецкие аудио/data/009_249865.34375_257577.21875000003.wav," пунрёбцонда таняна' я""амнада яӈгу тикы' пуд таминда хасава ӈацекы' нися сэвта хаялцавэй' тёрей"""
/Users/air/Downloads/Ненецкие аудио/data/009_258471.59375_267921.59375.wav,"пунрыдм' пунрёбцони тянё ӈэб"" си""ми няда""ма иисус ненэцие"" мандал' мимам' манэ""манда сер' ӈылекан' табеко пэй"" нянзьдахасьда ӈылека"
/Users/air/Downloads/Ненецкие аудио/data/009_268613.46875000006_273895.34375.wav,"мань нянд тарем' табекудм' ӈацекэхэд тарпад"" тад нерня' сян пуня' нён сал"""
/Users/air/Downloads/Ненецкие аудио/data/009_274739.09375_284273.46875.wav,"ӈылека ӈацекы' пыхыдм' сатавна манзабтамба тёрсавэй' ӈацекэхэд тарпы"" тикыкое хабэйдарев' юседа ханяӈы ненэця"" яӈгумэӈэ ваде""ӈадо'"
/Users/air/Downloads/Ненецкие аудио/data/009_285083.46875_294111.59375.wav,"иисусхав ӈудахаданда ня""махая тю""у' илада ӈацекы нулъй"" иисус' мяд' мю' мятю""мяхаданда тохоламбадида тасиримна сита хонра"""
/Users/air/Downloads/Ненецкие аудио/data/009_295225.34375000006_303544.71875.wav,"маня"" ӈамгэ ӈылекам' питарць я""масава"" пыда няндо' ма тикы' то""лаха ӈылекахав туё""лись нива ӈавормам мэ""лись питарпада"
/Users/air/Downloads/Ненецкие аудио/data/009_305569.71875_311965.34375000006.wav,"тадтикахад тикы яхад хэ""мяхадандо' галилея' явна миӈа"" иисус тохоламбадида тарем' табэдамбидась"
/Users/air/Downloads/Ненецкие аудио/data/009_312775.34375000006_321820.34375.wav,"ненэця' нюӈэ вадетам' тадри' вэва ненэцие"" ӈудаха"" митадо' тикахад хадаӈгудо' пыда яӈгумда тад пуна няхар"" яля' хэ""мяхад яӈор' илелты"""
/Users/air/Downloads/Ненецкие аудио/data/009_322630.34375_330510.96875.wav,"ӈадьбята иисус тарем' харвась ханя' ми""махаданда хибяхарт теневабта ни тара"" пыда вадида тохоламбадида нидо' хамэда"""
/Users/air/Downloads/Ненецкие аудио/data/009_331590.96875_339539.09375.wav,"тарси"" тикы' нямна хонра сейдо' пина"" пыдо' капернауман' салъяд"" мякана иисус сиддо' хонра"
/Users/air/Downloads/Ненецкие аудио/data/009_340180.34375_347200.34375.wav,"ядба""на"" ӈамгэ' нямна лаханорцада"" тохоламбадида мунзи"" пыдо' ядвандо' сер' хибяндо' ӈарка ӈэвам' тасламбиць"
/Users/air/Downloads/Ненецкие аудио/data/009_348381.59375000006_356430.96875000006.wav,"иисус ӈамды"" юкад вата сидя тохоламбадамда нянда ханъяда вахалъй"" хибя нерденяӈэ хэван' харва"
/Users/air/Downloads/Ненецкие аудио/data/009_357089.09375_364480.34375.wav,"тикы ӈули"" пудана ӈэӈгу хусувэй ненэця' манзаранаӈэ тараӈгу пыда ӈацекым' ня""ма поӈгандо' нултада"
/Users/air/Downloads/Ненецкие аудио/data/009_365155.34375_373474.71875.wav,"ӈацекым' севолкая няндо' ма хибя тюку' то""лаха ӈопой ӈацекым' мань е""эмняни нянда тэвраӈгу тикы си""ми сёнзянда мю' ня""маӈгу"
/Users/air/Downloads/Ненецкие аудио/data/009_374234.09375_382249.71875.wav,"си""ми сёнзянда мю' ня""мавы си""лими вуни ня""маӈгу"" мань хавнани си""ми ӈэдаранам' ня""маӈгу"" нив' иоанн нянда ма"
/Users/air/Downloads/Ненецкие аудио/data/009_383160.96875000006_392729.09375.wav,"сидна"" тохоламбадава"" маня"" ӈоб"" ненэцям' манэ""ӈаваць пыда пыдар нюмд няд""мяць ӈылекы питарпись пыда нянана"" ниню"" ядэр"" ӈадьбя""на"" маня"" таб""лаваць"
/Users/air/Downloads/Ненецкие аудио/data/009_393370.34375_402246.5937500001.wav,"иисус няндо' ма нёра"" таб""ламбю"" хибя нюмми няд""мяць мутрам' сертаӈгу тикы мань си""ми тэри вэнзер' ни вадет"""
/Users/air/Downloads/Ненецкие аудио/data/009_403394.09375_410903.46875.wav,"хибя няна"" ни вэнзумдю"" тикы няна"" нята ненэся нянда"" мадм' пыдара"" христосхад переванда"" нид"
/Users/air/Downloads/Ненецкие аудио/data/009_411578.46875_416100.9687500001.wav,"хибя нянда"" мань е""эмняни итамда"" тата тикы ненэць' ӈуда' терси"" ни хаёд"""
/Users/air/Downloads/Ненецкие аудио/data/009_417670.34375_424825.34375.wav,"хибя пунрёбцода тянё ненэцям' вэвако серт' тэвраӈгу тикы ненэцям' ӈарка манябэм' иканда тяха' сярхая яв' ит' моб"" сава"
/Users/air/Downloads/Ненецкие аудио/data/009_426259.7187500001_435777.21875.wav,"ӈуданд сит хэбяхан' тэвраб"" ӈудар сапад сидя ӈудахана я' ӈыл' ӈоб' тута тун' тэвванд екававна та' екававна вае"" ӈудахана иланд' тэвад"""
/Users/air/Downloads/Ненецкие аудио/data/009_436688.46875_442847.84375.wav,"таняна халы ни хаӈг"" ту ни хабтюр"" ӈэнд сит хэбяхан' тэврамбаб"" ӈэр сапад"
/Users/air/Downloads/Ненецкие аудио/data/009_443927.84375_452972.84375.wav,"сидя ӈэмд мэць я' ӈыл' тэвванд екававна та' екававна вае"" ӈэхэна иланд' тэваб"" сава я' ӈылна халы ни хаӈг"" ту ни хабтюр"""
/Users/air/Downloads/Ненецкие аудио/data/009_453884.09375_459992.84375.wav," сэванд сит хэбяхан' тэврамбаб"" сэвар тюхулт сидя сэвмд мэць я' ӈыл' тэвванд екававна"
/Users/air/Downloads/Ненецкие аудио/data/009_460583.46875_467046.59375000006.wav,"та' екававна вае"" сэвм' мэць нум' параӈода' ян' тэваб"" сава я' ӈылна халы ни хаӈг"" ту ни хабтюр"""
/Users/air/Downloads/Ненецкие аудио/data/009_468312.21875000006_477154.71875.wav,"сэротавы хан' тотрев' хусувэй хибя тухуна хабтумдавы ӈэӈгу сэр"" сава ӈамгэ ӈопой сэр"" ӈавыцябата ханзер"" ӈавыта хамэдаӈгура"""
/Users/air/Downloads/Ненецкие аудио/data/008_3321.5937500000005_11691.593750000004.wav,"та' мальӈгы яляха""на иисусан' ӈока ненэця"" ӈани' ма""лыць пыдо' ӈамандадо' яӈговы иисус тохоламбадида хаӈгая няндо' ма"
/Users/air/Downloads/Ненецкие аудио/data/008_12248.46875_17732.84375.wav,"няхар"" яля' ямбан' ӈаварципой"" нянани мэна"" ненэця"" сяялы"" ханяӈыдо' ӈа""и яхат товы"""
/Users/air/Downloads/Ненецкие аудио/data/008_18475.34375_24179.09375.wav,"ӈавормадавэй' мякато' ӈэдараб""нани сехэрэндо' мюня выдараӈгу"" тохоламбадида нянда ма"""
/Users/air/Downloads/Ненецкие аудио/data/008_25124.09375_34169.09375.wav,"тюку терсяда яхана хибя ханяд тикы ненэцие ӈавлава' пирувна таӈок няньм' хось пирта пыда сиддо' хонра сяӈок няньра"" пыдо' ма"""
/Users/air/Downloads/Ненецкие аудио/data/008_35063.46875_41492.84375000001.wav,"си""ив тикан да иисус ненэцие я' ни' ӈамда табэдэйда тад тикахад си""ив няньм' ня""махая"
/Users/air/Downloads/Ненецкие аудио/data/008_42319.71875_50301.59375.wav,"нумд' сава вади ха""авра""махаданда нянё мардэйда нянё"" ютек харта тохоламбадахата ми""йда ненэцяӈг"" ми терць табэдэйда пыдо' ӈани' ненэцяӈг"" тяръя до'"
/Users/air/Downloads/Ненецкие аудио/data/008_50892.21875000001_58755.96875.wav,"мале сян халякодо' ӈани' танявы сава ва дам' нумд' ха""аврахая иисус ӈобтарем' митерць табэдэйда тикандо' малебыхындо' ӈаворӈаць хаёвэхэтато' си""ив паӈгалмы ед' тер ӈавар"" ютек ма""ла"""
/Users/air/Downloads/Ненецкие аудио/data/008_59430.96875000001_68324.09375.wav,ӈокханда тет ёнар' пир ненэць' ӈэвы тадтикахад иисус сиддо' ӈэдара
/Users/air/Downloads/Ненецкие аудио/data/008_69201.59375_80052.21875000001.wav,"таминда харта тохоламбадита ня' ӈано' мю' тияд"" далмануфа' я' няю' хая"" иисусан' фарисей"" то"" нянанда тасалко пэяд"""
/Users/air/Downloads/Ненецкие аудио/data/008_80845.34375_89367.21875.wav,"сита хорман' харвавандо' нид ненадом' манэ""лаб тавамда хаӈаць иисус пэдёмда ӈахат нэкалкая ма тюку ила' ёльцьӈгы ненэця"" ӈамгэ ненадом' манэ""ман' харва"""
/Users/air/Downloads/Ненецкие аудио/data/008_90109.71875_98766.59375.wav,"ненэся ини ядан' мадм' тюку ненэцяӈг"" ненадо' хурка ӈэва сяхаӈгарт' ни ӈа димд"" сиддо' хаехая иисус ӈани' ӈанохонда тий"""
/Users/air/Downloads/Ненецкие аудио/data/008_99627.21875_107187.21875.wav,"то' тяханя' хая тохоламбадида ӈаварм' сода юрвы"" ӈанондо' мюня ӈопойри няньм' нянандо' содавы"""
/Users/air/Downloads/Ненецкие аудио/data/008_107811.59375_112755.96875.wav,"иисус няндо' тарем' табекурӈа сырӈада"" фарисей"" тимдеӈгосьхад ирод' тимдеӈгосьхад тосада"" тохоламбадида помнандо' тасалко лахана"""
/Users/air/Downloads/Ненецкие аудио/data/008_113363.46875_122847.21875.wav,"няньна"" яӈгова' нид тарем' мандакы ӈамгэм' ваде""мамдо' иисус ихинянда таслада"
/Users/air/Downloads/Ненецкие аудио/data/008_124112.84375_133292.84375.wav,"хонарку нянянда"" яӈговам' ваде""ӈада"" ӈамгэхэртм' тамна нида"" мание"" ӈамгэхэртм' тамна нида"" хамэда"" сёнзьта"" мюня сейда"" ӈоб' хоны"""
/Users/air/Downloads/Ненецкие аудио/data/008_133934.09375000003_142455.96875.wav,"сэвта"" таня ӈамгэхэртм' нида"" мание"" хавота"" таня ӈамгэхэртм' нида"" намдор"" ӈамгэхэртм' нида"" тене"" самляӈг няньм' самляӈг ёнар"" ненэцянд' мардамбавани мальӈгана сяӈок паӈгалмы ед' тер нянё"" ютек ма""ласада"""
/Users/air/Downloads/Ненецкие аудио/data/008_143400.96875_151737.21875.wav," пыдо' нянда ма"" юкад вата сидя"
/Users/air/Downloads/Ненецкие аудио/data/008_152513.46875000003_162182.84375000003.wav,"иисус ӈани' ма си""ив няньхана тет ёнар"" ненэцям' ӈавлавани мальӈгана сяӈок панта паӈгалмы едм' тердесада"" пыдо' ма"" ни""им' си""ив"
/Users/air/Downloads/Ненецкие аудио/data/008_163195.34375_168038.46875000003.wav,"тамна тяха' няндо' ма ханзер"" тикамда"" тамна нира"" хамэдамбю"" вифсаидан' тэввандо' мальӈгана ханяӈы ненэця"" иисусан' сэвсядам' тэвра"" ӈудида нинда лабцебтеванда е""эмня иисусм' хынумби"""
/Users/air/Downloads/Ненецкие аудио/data/008_170114.09375000003_177690.96875000003.wav,"иисус сэвсядам' ӈудахаданда ня""махая харад' хэвня' ханада"
/Users/air/Downloads/Ненецкие аудио/data/008_178467.21875_187647.21875.wav,сэвхата сабцяда тадтикахад ӈудида лабцебтехэя сита хонра ӈамгэхэвам' маниен хаӈгурта ӈэвамда илахая ма
/Users/air/Downloads/Ненецкие аудио/data/008_188372.84375_196287.21875.wav,"ненэцие маниедм' пядарев' вэӈгалё ядэрӈа"" тиканда иисус ӈани' ӈудида сэвхата лабцебтейда хаӈгурта савамбовна сылы"""
/Users/air/Downloads/Ненецкие аудио/data/008_197080.34375000006_205754.09375.wav,"сензумы хусувэй ӈамгэм' сававна мание тадтикахад сита мяканда ӈэдараванда сер' иисус тарем' ма харад' ӈысывна нён хань"""
/Users/air/Downloads/Ненецкие аудио/data/008_206665.34375_215102.84375.wav,"тиканда иисус харта тохоламбадита ня' кесария филипп' я' хэвхана ӈэда хардо""мана хая"" сехэрэвна ядвандо' сер' тохоламбадида хонрамби"
/Users/air/Downloads/Ненецкие аудио/data/008_215895.96875_222696.59375.wav,"ненэця"" си""ми хибяӈэ пэрӈа"" пыдо' нянда ма"" ханяӈы"" хэхэдаӈгода иоаннаӈэ пэрӈа"""
/Users/air/Downloads/Ненецкие аудио/data/008_223759.71875_228687.21875000003.wav,"ӈани ханяӈыдо' илияӈэ тамна ӈани ханяӈыдо' нум' вади вадети"" ӈопойӈэ сит пэрӈа"""
/Users/air/Downloads/Ненецкие аудио/data/008_229632.21875_239250.96875000003.wav,"пыда няндо' ма пыдара"" ӈани' си""ми хибяӈэ пэрӈада"" петр нянда ма"
/Users/air/Downloads/Ненецкие аудио/data/008_240044.09375_249460.34375.wav,"пыдар христосан тиканда иисус хибяхартан' сита вадець нись табэда"" тадтикахад иисус тохоламбадида тарем' тохоламба пяйда"
/Users/air/Downloads/Ненецкие аудио/data/008_250169.09375_258404.09375000003.wav,"ненэця' ню ӈока маям' хованда ненэцие"" ӈаркта"" ханондани"" ӈаркта"" моисей' ватом' теневана"" сита волтамбаӈгу"""
/Users/air/Downloads/Ненецкие аудио/data/008_259399.71875000003_266875.34375.wav,"тадтикахад сита маядаӈгу"" пыда ӈани' няхар"" яля' пирка""на илеӈгу"" иисус тикы' нямна ӈадя ирт"" ма"
/Users/air/Downloads/Ненецкие аудио/data/008_267887.84375_277152.21875000006.wav,"петр ӈани' хэвняку' сита хаӈгая тэдорць пэй"" иисус ӈани' ёӈгамгая тохоламбадахата сырць петрм' тэдорӈада тарем' ма"
/Users/air/Downloads/Ненецкие аудио/data/008_277911.59375_284374.71875.wav,"сатана сэвни тяха' хань"" пыдар нум' серо"" нямна ир ни ядэр"" ненэциели"" ила' нямна ибедорӈан"
/Users/air/Downloads/Ненецкие аудио/data/008_285100.34375000006_289234.71875.wav,тадтикахад иисус ненэцие харта тохоламбадида нянда хаӈгая ма
/Users/air/Downloads/Ненецкие аудио/data/008_289892.84375_295866.59375.wav,хибя пумнани тован' харва пыхыдамда юрахая харта лярць' пямда мине пумнани тоя
/Users/air/Downloads/Ненецкие аудио/data/008_296980.34375000006_300574.71875000006.wav,хибя харта илалимда ӈэдаван' харва тарця ненэць' иламда ётада
/Users/air/Downloads/Ненецкие аудио/data/008_301671.59375_307257.21875.wav,"хибя мань' е""эмняни маймбабцо юн' е""эмня иламда ёта тикы харта иламда ӈэдаӈгуда"
/Users/air/Downloads/Ненецкие аудио/data/008_308202.21875000006_316825.34375.wav,"яндир' ний хусувэй ӈамгэм' ня""ма""махаданда харта иламда ё""пата нянанда тарода таняӈав' ненэць' иламда ӈамгэхэна тадаӈгуда"
/Users/air/Downloads/Ненецкие аудио/data/008_318225.96875_323220.96875.wav,теда' пунрёсьда хэбяхасавэй илӈгана хибя нядни вадахатани сядоларамбабта
/Users/air/Downloads/Ненецкие аудио/data/008_323980.34375000006_332232.21875.wav,ненэця' нюӈэ нюмдебада нисянда ӈармдёвам' мэць хэбидя нув' юне ядэлани няць тованда мальӈгана нядандо' ӈобтарем' сядоларамбаӈгу
/Users/air/Downloads/Ненецкие аудио/data/005_7118.46875_14425.34375.wav,"иисус ӈанонда мюд ян' ха""ма""махаданда неранда няд хальмер"" яхад товы ня""маравы не нэць' минханда сита ядабта"
/Users/air/Downloads/Ненецкие аудио/data/005_15420.96875_22069.71875.wav,"пэ' хоркадёхо""на ӈэда хальмераха""на илесетвы хибяхарт еся иняхар таха""на сита сяра я""амвы"
/Users/air/Downloads/Ненецкие аудио/data/005_22795.34375_27908.46875.wav,"ӈока мэва' ӈэда еся ха""на ядыбавыдо' ӈудида еся иняха""на сярыбавы до'"
/Users/air/Downloads/Ненецкие аудио/data/005_28752.21875_34793.46875.wav,"еся ин ныдпавыда еся таман тахабтамбавыда хибяхарт сита янимде нивы пирас"""
/Users/air/Downloads/Ненецкие аудио/data/005_35299.71875000001_41205.96875.wav,"пыда пэ хой ха""на хальмер"" поӈгана писавэй ялэ"" тюрыцетвы пыхыдамда пэхэ"" ладорпавэда"
/Users/air/Downloads/Ненецкие аудио/data/005_42319.71875_50470.34375000001.wav,"ӈа""и яхад иисусм' манэ""манда сер' неранда няд сюрмба пулыта ни' ха""мы"" ӈэвада нибко""ӈа ӈули"" ӈаркавна тюрыць ма"
/Users/air/Downloads/Ненецкие аудио/data/005_51044.09375_59920.34375.wav,"самянхат ӈарка нум' ню иисус нянани ӈамгэ сел таня нум' ед' хынумдадм' си""ми нён маядамбю"""
/Users/air/Downloads/Ненецкие аудио/data/005_60780.96875000001_66062.84375.wav,"вахало""манда нерня иисус нянда тарем' мамысь ӈылека ненэця' сёнзя' мюд тар пад"""
/Users/air/Downloads/Ненецкие аудио/data/005_66889.71875_74449.71875.wav," ӈадьбята ня""маравы иисусан' тарем' лаха навы тадтикахад иисус сита хонра нюмл ӈам гэ ӈылека тарем' ма"
/Users/air/Downloads/Ненецкие аудио/data/005_75495.96875_83629.71875000001.wav,"мань нюмми легион маня"" ӈокава"" ӈылека иисусан' хынумда ма сидна"" тюку яхад хэвня' нён питарпю"""
/Users/air/Downloads/Ненецкие аудио/data/005_85182.21875_95037.21875.wav,"хой' хэвхана парась"" мандал"" хадырмы"" ӈылека"" хынумда нянда ма"" сидна"" парась"" сёнзя' мю' пакалць ӈэдара""ма иисус минханда"
/Users/air/Downloads/Ненецкие аудио/data/005_95577.21875_102209.09375.wav,"вадито' сер' сертада тикаринда ӈод"" ӈылека"" ненэцяӈгад тарп""махадандо' парась"" сёнзя' мю' пакалъяд"""
/Users/air/Downloads/Ненецкие аудио/data/005_103069.71875_108672.21875.wav,"сидя ёнар' мян' парась хой' ядхад то' ит' мялкада"" мал' то' икана хабтюмя"""
/Users/air/Downloads/Ненецкие аудио/data/005_109549.71875_118999.71875.wav,"парась лэтамбавы"" харад' ня' ӈысы"" ня' хунамба хая"" ӈамгэ' хадкэ""мам' ваде""ӈадо' ненэця"" тикым' манэ""манзь тарпыд"""
/Users/air/Downloads/Ненецкие аудио/data/005_120030.22063216903_125736.19859724845.wav,"иисусан' то"" сырӈа"" ня""маравы ӈамды ембды"
/Users/air/Downloads/Ненецкие аудио/data/005_126834.78625779388_136144.71875.wav,"ӈахат ӈыхыхында ха""амвы"" ненэцие"" сейдо' хая"" хадкэвы серо манэ""мы"" ненэця"" ня""маравы' сензумам'"
/Users/air/Downloads/Ненецкие аудио/data/005_136718.46875_145763.46875000003.wav,"парась"" хавам' тамна тяха' няхато' ваде""ядо' тикы иле""ми намд""махадандо' ненэця"" иисусм' яхадандо' хэвня' хэсь хынумбидо'"
/Users/air/Downloads/Ненецкие аудио/data/005_146792.84375_156293.46875000003.wav,"иисус' ӈанонда мю' ти""мяхад ня""маравы ненэць' тарем' ма нянанд мэван' харвадм' иисус сита ханаван' нивы харва"" тарем' ма"
/Users/air/Downloads/Ненецкие аудио/data/005_161254.71875000003_171447.21875000003.wav,"сяё""мям' няхат вадет хэ""мяхаданда иисус' сита ханзер"" мэ""мам' ю"" марад' я' ӈардан' вадець пяйда ваде""мэхэта мал' пысаӈгаць"
/Users/air/Downloads/Ненецкие аудио/data/005_173657.84375_181504.71875.wav,"иисус ӈанохона то' тяханя' ӈани' пуня' сало""махаданда ӈока ненэця"" хэвханда мандалъядаць пыда то' хэвхана мэсь"
/Users/air/Downloads/Ненецкие аудио/data/005_182432.84375_186752.84375.wav,"та' мальӈгана ма""люӈгалава мяд' ервхат иаирм' нюбетадо' то"
/Users/air/Downloads/Ненецкие аудио/data/005_187630.34375_195089.09375.wav,"иисусм' манэць неранда няд пулыта ни' ха""мы"" сита ӈули"" ханзь тарем' ма не нюни яӈгумарида хаи ту""ма"
/Users/air/Downloads/Ненецкие аудио/data/005_195899.09375_201872.84375.wav,"савуманда е""эмня иле хаёванда е""эмня ӈудид нинда мэн""ма"" иисус нянанда хая"
/Users/air/Downloads/Ненецкие аудио/data/005_202767.21875_212976.59375.wav,"сита ненэцие"" мандал"" нёдалӈа"" ханядтаняд сита тыеромдаба пя"" мандалмы ненэцие"" поӈгана юкад вата сидя по' ямбан' понзи"" ирытормы не мэвы"
/Users/air/Downloads/Ненецкие аудио/data/005_213989.09375_220148.46875.wav,"хуркари лекарахат маяӈо хомба ӈаворида мал' тароси"" сад""мыда хабцянда ханяцей' сахамы"
/Users/air/Downloads/Ненецкие аудио/data/005_221397.21875_228518.46875.wav,"иисус' сертабада серо"" юнм' намд""махаданда не ихинянда ма панэхэртаханда тирцядаб""ни савумдадм'"
/Users/air/Downloads/Ненецкие аудио/data/005_229075.34375_234998.46875000003.wav,"ӈадьбята ненэцие"" помна пунда няд ембдярканда тирцяда хамдумбадада таминда мацяда"
/Users/air/Downloads/Ненецкие аудио/data/005_235724.09375_244684.71875.wav,хабцянда савумам' пыхыдавнанда минханда хамэдада иисус та' мальӈгана пыхыдахаданда ныхында тарпавам' хамэдавэда
/Users/air/Downloads/Ненецкие аудио/data/005_245528.46875_252514.71875.wav,"мандалмы ненэцие"" няю' сюрхалкая тарем' ма панэхэ""ни хибя тирцяда тохоламбадида нянда ма"""
/Users/air/Downloads/Ненецкие аудио/data/005_253240.34375_261542.84375000003.wav,"ненэцие"" сит тыеромдабавам' маниеранё"" тарем' ӈод"" ман хибя няни тирцяда пыда нянда тирцядавым' пюрць сидя хэвувнанда сырӈа"
/Users/air/Downloads/Ненецкие аудио/data/005_262369.71875_270503.46875.wav,"ӈамгэ' хадкэ""мам' тенева не сеянда пина ледре неранда няд пулыта ни' мо""нэй"" серта сер' мал' ваде""яда"
/Users/air/Downloads/Ненецкие аудио/data/005_271127.84375_278924.09375.wav,"иисус нянда ма ебтов"" нумд' пунрёвар сит ӈэда инд таӈга хань"" хабцяӈгаданд сензув"""
/Users/air/Downloads/Ненецкие аудио/data/005_279784.71875_287091.59375.wav,"иисус' тамна лахарёмда малевдавэй' ма""люӈгалава мяд' ерв' мякад товы ненэця"" иаирт' ма"" не нюр яӈгума"
